text,label
"what is the weather going to be like this evening in arkansas
","weather
"
"find the movie times for films in the area
","movie
"
"find the movie schedules for cineplex odeon corporation
","movie
"
"can you help me find the author! author ! trailer ?
","search
"
"is it going to get hotter in my current position
","weather
"
"book a pub for two on jan first 2037
","restaurant
"
"please tell me the movie schedules
","movie
"
"weather for oct 16 in mo
","weather
"
"forecast for laguna heights barbados
","weather
"
"what will the weather be for hooksett
","weather
"
"what will the weather be in grand coteau ut at six pm ?
","weather
"
"where is wild america showing at zero p m
","movie
"
"i need a highly rated oyster bar in ar in a month for jeanne collins amy and i
","restaurant
"
"find a show called the paper route
","search
"
"play a 2001 sound track on deezer
","music
"
"where can i view the tv series of witch
","search
"
"show acta mathematicae applicatae sinica tv show
","search
"
"what s the weather going to be like around lewis and clark trail sixteen hours from now ?
","weather
"
"how will the weather be in kentucky this week ?
","weather
"
"find a reservation for 3 people
","restaurant
"
"show movies at the nearest movie house
","movie
"
"what s the weather in ri ?
","weather
"
"where can i locate the show the return of mr moto
","search
"
"play music from 1950
","music
"
"what s the weather in south hill
","weather
"
"find the movie schedule
","movie
"
"play music on netflix
","music
"
"i want to book the best steakhouse with south american cuisines in alaska
","restaurant
"
"is there snowstorm in la ?
","weather
"
"give me the movie schedule at santikos theatres
","movie
"
"book a restaurant at sixteen oclock in sc
","restaurant
"
"play some ray williams music from the nineties on spotify
","music
"
"pull up the trailer for 2000 years – the millennium concert
","search
"
"please reserve a table at the food truck in wheeler for december 4th 2019
","restaurant
"
"play top-twenty fourties movement music by mohammad reza lotfi
","music
"
"give me the weather forecast in zimbabwe
","weather
"
"play me a nineties song by joseph genaro
","music
"
"will there be snowfall faraway from robinson forest
","weather
"
"book a spot for ten at a restaurant with a spa in us minor outlying islands
","restaurant
"
"is the swan available to watch at the movie house now ?
","movie
"
"book me a bar where i can get a bear claw in as
","restaurant
"
"please find me the rear mirror saga
","search
"
"play music by odd nosdam
","music
"
"show creative last light
","search
"
"play music off itunes
","music
"
"play ep from quasimoto from the nineties
","music
"
"i want a table for eight at gu
","restaurant
"
"what is the weather in mascotte
","weather
"
"book a reservation for 8 at a restaurant that serves chicken fried bacon in aruba
","restaurant
"
"i need to book the best food court in within the same area as ok that serves persian food for my ex husband and i
","restaurant
"
"find the living room tapes a tv series
","search
"
"lets go to a bistro in sd
","restaurant
"
"what time is bhoot returns showing at douglas theatre company
","movie
"
"what are movie times for movies playing in the neighborhood ?
","movie
"
"show me a picture of nokia football crazy
","search
"
"what will the humidity be in beroun on aug 26
","weather
"
"where is the nearest movie house that is playing sirivantha
","movie
"
"play something from the twenties on lastfm
","music
"
"play a trailer for sencha touch
","search
"
"find santikos theatres showing animated movies
","movie
"
"i m looking for the music of nashville season 3 saga
","search
"
"book a restaurant for three people in jenkins
","restaurant
"
"i need a reservation for next week with a party of six
","restaurant
"
"show tv show schedule archiveis
","search
"
"want to eat at diners of allentown pennsylvania on purim
","restaurant
"
"play some songs from 1958
","music
"
"show the movie schedule
","movie
"
"please search the work eve-olution
","search
"
"which animated movies are playing at megaplex theatres at tea time?
","movie
"
"what will the weather be like at 3 am in trinidad and tobago
","weather
"
"what s the weather going to be one hour from now in taiwan
","weather
"
"find the movie schedule for century theatres
","movie
"
"find the picture their finest hour
","search
"
"play the newest released song from 1951
","music
"
"will it be warmer at 15 o clock in deepwater bonaire
","weather
"
"can you give me the movie times
","movie
"
"find the schedule for movies at plitt theatres
","movie
"
"what is the southern shops forecast for warm temps
","weather
"
"plan an album by roni duani
","music
"
"what are the movie schedule now
","movie
"
"i d like to see weather conditions for ennis
","weather
"
"i need a table for 1 minute from now at any pub for five around in that also serves fisnn chips
","restaurant
"
"i want to hear music by madeleine peyroux from 1991 on youtube
","music
"
"show me the album apache axis2
","search
"
"show creativity of book future of the past
","search
"
"play zvooq
","music
"
"will there be a snowstorm in slick or four hours from now ?
","weather
"
"at my current spot is it going to be hotter on nov the eighth
","weather
"
"what s the weather going to be like in fort point san francisco tomorrow ?
","weather
"
"tell me what films are around here
","movie
"
"is it warm in sierra blanca now
","weather
"
"give me the movie schedule for films in the area
","movie
"
"find the movie schedule for fox theatres at supper time
","movie
"
"find a cinema for the tenderfoot nearest me
","movie
"
"find a tv series called the golden hits of sandie shaw
","search
"
"how much fog is there in tarpon springs ?
","weather
"
"book a restaurant in goshenville pr for october 16 2038
","restaurant
"
"play me a song by kevin cadogan
","music
"
"book a spot for nine near togo
","restaurant
"
"book a spot for 3 at a bar in antarctica
","restaurant
"
"is it going to be colder in botswana by 09 30
","weather
"
"what is the forecast for the current spot for cloudy conditions
","weather
"
"play some chanson music
","music
"
"what is the weather of pine city
","weather
"
"play heavy machinery by phil spector on zvooq
","music
"
"will it be cloudy by five pm in gobler jersey
","weather
"
"book a table at a pool bar
","restaurant
"
"find the television show titled spatial query server
","search
"
"make me a reservation at a bar for a party of 7 in indonesian
","restaurant
"
"play a song from 1990 on netflix
","music
"
"what films are showing in the neighbourhood
","movie
"
"what weather is predicted for loyalhanna ?
","weather
"
"what theaters are showing a lonely place to die – todesfalle highlands starting at 14 40
","movie
"
"find a trailer called sheriff of tombstone
","search
"
"book the middle east restaurant in in for noon
","restaurant
"
"book a spot for nine in lavalette guam
","restaurant
"
"i want to listen to lastfm play a drop of the hard stuff by joi chua
","music
"
"play the artist tei last concert on netflix
","music
"
"weather for ma in the morning
","weather
"
"play keep their heads ringin’
","search
"
"what is the tv show this is halloween ?
","search
"
"book a brasserie for connie scott and madeline in northern mariana islands in eleven hours
","restaurant
"
"is it supposed to hail in ny
","weather
"
"where is nichiren to mōko daishūrai playing
","movie
"
"is jack the ripper playing in one hour at the nearest movie house ?
","movie
"
"book a table at a restaurant within the same area as the octagon christchurch in allentown
","restaurant
"
"play some symphonic rock
","music
"
"what is the humidity in serbia
","weather
"
"book mars 2112 in rwanda for 4 people
","restaurant
"
"book pm park clear lake iowa at 5 am for 6 people
","restaurant
"
"is there going to be a depression in my current location on nov the ninth
","weather
"
"play if you go
","search
"
"book a stracciatella provider coffeehouse for 10
","restaurant
"
"i d like to see confessions of an indian teenager
","search
"
"play my trabajo relax playlist
","music
"
"book a restaurant for four in trinidad and tobago
","restaurant
"
"show me weather forecast in clontarf ky from 4 hours from now
","weather
"
"what is the weather not far from current position
","weather
"
"i m looking for a game called gateway
","search
"
"find as live as it gets
","search
"
"book a table for kirsten price audra and i faraway from our location at an outdoor taverna
","restaurant
"
"what is the weather going to be like on st patrick s day ?
","weather
"
"find a soundtrack called the spanish jade
","search
"
"can you play some andrew cash music on slacker
","music
"
"will it be windy at 4 pm in ny ?
","weather
"
"what is the weather like in hurstville ?
","weather
"
"what films are at cinemark theatres
","movie
"
"play the knockabout soundtrack
","search
"
"show the collectors video game
","search
"
"what is the pw forecast for jul 9 in robert
","weather
"
"play the song little robin redbreast
","music
"
"play some origa on google music
","music
"
"what will the weather be like in 16 weeks at the ivory coast
","weather
"
"i want ohear the 1996 soundtrack from deezer
","music
"
"will there be a snowfall here in the neighboring areas?
","weather
"
"what is the forecast for my current place at 23 o clock
","weather
"
"i d like to see the game called god is in the tv
","search
"
"what movies are currently at star theatres ?
","movie
"
"use groove shark to play music from the nineties
","music
"
"what is the weather in arkansas the city of morrison
","weather
"
"play some music from the thirties
","music
"
"find me showtimes for animated movies in the neighbourhood
","movie
"
"i need to book a table at a bar in micronesia for tia madeline and estela
","restaurant
"
"what is the weather forecast for strong city
","weather
"
"give me weather information for porcupine mountains
","weather
"
"please search the songs for the deaf video game
","search
"
"what s the weather forecast for oman 2 months from now ?
","weather
"
"is ce cher intrus at imax corporation
","movie
"
"find dipson theatres animated movies
","movie
"
"please search for the work wholehearted
","search
"
"party for 2 in cleveland
","restaurant
"
"show the night riders
","search
"
"book a table for 3 at a top-rated restaurant
","restaurant
"
"book reservations at a restaurant in ne for 4 people on apr 2 2021
","restaurant
"
"find a movie schedule
","movie
"
"what is the forecast for petersville oh
","weather
"
"find me the lace and whiskey soundtrack
","search
"
"where can i purchase papers in regional science the album ?
","search
"
"find a video game called a stroll in the pork
","search
"
"play some fun-punk
","music
"
"where can i locate leo the lion for purchase
","search
"
"she me the forecast for clayton lake state park on oct 17th
","weather
"
"find to each his own cinema an album
","search
"
"book me a reservation for a mediterranean restaurant on confederate memorial day nearby ocean grove
","restaurant
"
"look for the trailer for red stallion in the rockies
","search
"
"what movie schedules start at sunset ?
","movie
"
"show cloud forcast in 1 hour in ia
","weather
"
"play step up your game by marc cohn
","music
"
"i need to hear the song aspro mavro from bill szymczyk on youtube
","music
"
"play white noise
","music
"
"book a spot for 8 in a cafeteria with german chocolate cake in ecru new mexico
","restaurant
"
"play some seventies track from top rie tomosaka
","music
"
"find black mirror iii final fear
","search
"
"movie times at warren theatres
","movie
"
"what films are playing at the nearest movie house
","movie
"
"looking for a tibetan restaurant and need reservations for 1
","restaurant
"
"what time is the corner playing
","movie
"
"play me a ballad by dres on groove shark
","music
"
"is it getting colder in leonard harrison state park
","weather
"
"play my under the surface playlist
","music
"
"is the happy hooker goes hollywood at the movie house nearest me
","movie
"
"where is the beach of lost children playing
","movie
"
"find the movie shake your spirit
","search
"
"play zvooq latest track by peter appleyard
","music
"
"i want to find the video game masada anniversary edition vol 3 the unknown masada
","search
"
"find a tv show called randy scouse git
","search
"
"find the broken
","movie
"
"what is the movie schedules at for douglas theatre company at 0 p m ?
","movie
"
"show thousand miles movie
","search
"
"show the my world 20 photograph
","search
"
"show me the work titled the perfect gentleman which is a song
","search
"
"what will the weather be in nationalpark rila on nov 25 ?
","weather
"
"i wish to listen to some fifties music
","music
"
"can i get the newest movie schedule in the area for animated movies ?
","movie
"
"book a table for 9 scheduled for april the 8th in nj
","restaurant
"
"what will the weather be next apr in mt ?
","weather
"
"at ten am i want to reserve a spot for 9 people to eat in monaco
","restaurant
"
"book a reservation for a parry of eight for a restaurant in birch river mo
","restaurant
"
"book a spot far from Åland
","restaurant
"
"show movie schedules for marcus corporation
","movie
"
"play me a frank farian ep
","music
"
"let s play the album handover on deezer
","music
"
"what movie house is the closest playing animated movies
","movie
"
"find the schedule for heart beats
","movie
"
"i need to book a tropézienne restaurant six hours from now
","restaurant
"
"make a table reservation at the top-rated brasserie in cotton center
","restaurant
"
"book a delicatessen that is indoor for 3
","restaurant
"
"play me some music youtube
","music
"
"will a blizzard hit torrey pines state natural reserve on jun sixteenth ?
","weather
"
"play geddy lee music on spotify sort by top
","music
"
"show creativity in the red saga
","search
"
"what movie theatre is playing the deaths of ian stone
","movie
"
"what film to see at arclight hollywood
","movie
"
"please find me the platinum box ii song ?
","search
"
"will it storm in charles pinckney national historic site
","weather
"
"i need a table for 2 on feb 18 at main deli steak house
","restaurant
"
"i need information on movie schedules
","movie
"
"book reservations at a nearby restaurant in montenegro for four people
","restaurant
"
"play me a nineties sound track
","music
"
"use vimeo to play de camino a clase playlist
","music
"
"give me a list showtimes for the night of taneyamagahara
","movie
"
"find the show the naked gun
","search
"
"what type of movie is houston press ?
","search
"
"play spotify
","music
"
"find the show titled the most charming and attractive
","search
"
"could i download chavez inside the coup ?
","search
"
"play some mf doom from the sixties on pandora
","music
"
"will the wind die down at my current location by supper time?
","weather
"
"find a reservation at boone tavern for 4 people in 10 24
","restaurant
"
"is there a snowstorm in the forecast for el cenizo
","weather
"
"i want seats for 4 at a sichuan food restaurant in indonesia
","restaurant
"
"what s the weather in hi
","weather
"
"tell me the weather forecast for here
","weather
"
"play some google music
","music
"
"what films are playing at the closest movie house ar
","movie
"
"play a ballad from 1997
","music
"
"i need a reservation for a restaurant now with a party of 9 in hilt
","restaurant
"
"find the album future of the past
","search
"
"is it going to be rainy in kings valley kosovo next mon
","weather
"
"use slacker to listen to seventies music
","music
"
"book a restaurant with parking for three people
","restaurant
"
"play strength of street knowledge on groove shark
","music
"
"is there weather going to get chilly when i get close to new york ?
","weather
"
"book a restaurant in gate city for 5 people
","restaurant
"
"find half a sixpence photograph
","search
"
"let me get the forecast in allardt canada
","weather
"
"put on vimeo and play kacapi suling
","music
"
"what time is three cuckoo clocks playing?
","movie
"
"play kurt cobain ballad tunes
","music
"
"show the immortal grand prix
","search
"
"use netflix to play bizzy bone kiss me goodnight sergeant major
","music
"
"play me a song by teitur lassen on groove shark
","music
"
"i would like to book a fry sauce bar for jul 3 2019
","restaurant
"
"is blood is not fresh water playing at this movie theatre at 2 am ?
","movie
"
"play some popular bryan gregory songs
","music
"
"what s the weather in paulette yemen
","weather
"
"i want to book a restaurant for supper in kellerton for 2
","restaurant
"
"play the music genre synthpop
","music
"
"please help me find the short program saga
","search
"
"can i get a table for 3 in gu at a restaurant in the neighboring area that serves chicken french ?
","restaurant
"
"book this week for their step sisters workplace close
","restaurant
"
"find movie times
","movie
"
"i want to watch the television show champion
","search
"
"id like reservations for two at a pizzeria 22 weeks from now
","restaurant
"
"find a movie house closest with beethoven lives upstairs
","movie
"
"what will the weather be a nine in willow river state park ?
","weather
"
"is the weather going to be colder in gu in 11 years
","weather
"
"what animated movies are playing nearby
","movie
"
"find your personal touch
","search
"
"find a show called friday download
","search
"
"play some geir jenssen
","music
"
"show the forecast nearby in twenty two minutes in french polynesia
","weather
"
"where can i find conduct unbecoming ?
","search
"
"will i be able to watch camping-car at movie house at 6 pm ?
","movie
"
"i want to see the happy thieves at marcus corporation can you show me movie times
","movie
"
"book a theme restaurant in cameroon for 6 people
","restaurant
"
"play my hype playlist on youtube
","music
"
"play the track that would be something from eden ahbez
","music
"
"what will the weather be like in the falkland islands starting may 25 2022
","weather
"
"please get me stories from the english and scottish ballads show
","search
"
"book me a reestaurant that is close in the country of cocos islands
","restaurant
"
"reservea table for five people on september second in gabon
","restaurant
"
"play the best chant of 1975
","music
"
"what s the weather in niagara
","weather
"
"find movies at the nearest cinema
","movie
"
"is it freezing in offerman california ?
","weather
"
"what is the closest movie house playing what the swedish butler saw
","movie
"
"i want to watch the show food force
","search
"
"find the video game the sims 3 generations
","search
"
"i need a table at somewhere within walking distance of nv on november the 24th 2027
","restaurant
"
"book a tavern on lincolns birthday lincolns day
","restaurant
"
"show the trailer of deadly skies
","search
"
"book a restaurant in three points
","restaurant
"
"what time is the bride wore boots playing
","movie
"
"i want to listen to the song first time for everything
","search
"
"play sixties theme music
","music
"
"play me east side story
","search
"
"i need to know what theatre is playing a happy coersion
","movie
"
"will there be fog not far from mexico on apr 27
","weather
"
"book a table on 6 14 2035 at a bakery within walking distance of equatorial guinea that serves paella
","restaurant
"
"can you tell me the weather forecast for six am in grenada
","weather
"
"use iheart radio to play eighties music from hugh masekela
","music
"
"play me something by funtwo
","music
"
"what movie schedule are in the area for animated movies
","movie
"
"is it going to be warmer 165 days from now at nairobi national park
","weather
"
"tell me if it ll be freezing 333 days from now in caplinger mills florida
","weather
"
"weather for noon in ca
","weather
"
"book something for me and my wife at a restaurant in four weeks
","restaurant
"
"find the nearest place at four o clock with a movie house showing wow the kid gang of bandits
","movie
"
"is it forecast to be hot in greenland this winter ?
","weather
"
"what time is the dungeonmaster playing at amc theaters
","movie
"
"book a restaurant for me and my mother in law in montserrat
","restaurant
"
"play an album from the fourties
","music
"
"what is the weather forecast for ridge farm new york
","weather
"
"what will the weather be like 1 minute from now within the same area of my current location
","weather
"
"is it going to be windy faraway from the valley of fire
","weather
"
"i need a table at a steakhouse in encino that serves meatcake
","restaurant
"
"will there be sun in the manassas national battlefield park ?
","weather
"
"is it going to get any hotter in kerrick ?
","weather
"
"what was the weather in my current position last october
","weather
"
"find clash of the codes
","search
"
"i need a fast food restaurant that will seat two in a smoking room
","restaurant
"
"find the labyrinthe game
","search
"
"book a popular restaurant for two which is distant from avalon
","restaurant
"
"find a saga called set sail the prairie
","search
"
"will it be warm in kipp rhode island one hour and 9 seconds from now ?
","weather
"
"what is the mississippi for the week
","weather
"
"play rie fu music sorted by the best
","music
"
"will it be colder in cut ma tomorrow
","weather
"
"get me a reservation for 1 somewhere in spade at seventeen oclock
","restaurant
"
"can you play an ep from the year 1958 ?
","music
"
"what movie times are at bow tie cinemas ?
","movie
"
"i want to book the clarke cooke house in uzbekistan
","restaurant
"
"play groove shark
","music
"
"is this film going to be at malco theatres ?
","movie
"
"want to find a creative work called the prayer
","search
"
"play any track by flame
","music
"
"can i get the movie schedule for the bow tie cinemas
","movie
"
"is it going to be warm here for brunch
","weather
"
"when is the blue of heaven playing?
","movie
"
"i need a reservation for four at a restaurant in 1 hour and 1 second
","restaurant
"
"me and katharine would like to go eat at jan 22nd in ia
","restaurant
"
"where can i buy a photograph called feel the love ?
","search
"
"when is the blood of others playing?
","movie
"
"book in southern shores for 8 at ariston cafe
","restaurant
"
"what time is the rumyantsev case playing at the closest cinema
","movie
"
"show me the movie black summer
","search
"
"what time is one night stand showing at cineplex odeon corporation
","movie
"
"is the matinee idol 06 30 cinema sold out?
","movie
"
"please find the closest cinema that s playing movies at 9 am
","movie
"
"find the tv show tribute to the troops
","search
"
"show the singles collection volume 4
","search
"
"find the photograph a little less sixteen candles
","search
"
"when does miss sloane play at imax corporation
","movie
"
"i m looking for the last track by fei yu ching from the fourties
","music
"
"is a short film about killing at north american cinemas
","movie
"
"play seaside by don cherry
","music
"
"what is the weather doing in south carolina right now ?
","weather
"
"what are the current showtimes for love fiction ?
","movie
"
"i m looking for a movie called salvage mice
","search
"
"i want to watch the movie godslayer
","search
"
"i want the song phrazes for the young
","search
"
"find a picture called neighbourhood
","search
"
"please help me search the banker television show
","search
"
"i want to listen to the soundtrack adobe digital editions
","search
"
"what is the showtime for arsho
","movie
"
"bar restaurant for november the twelfth 2030 that is popular and for a party of ten
","restaurant
"
"play paul landers o rio a cidade a Árvore on slacker
","music
"
"how hot will be there in kanwar lake bird sanctuary tomorrow ?
","weather
"
"book a table for josie carissa and lindsay at a brasserie which serves trentino
","restaurant
"
"show me the movie times at star theatres
","movie
"
"i need a reservation for five at a top-rated english restaurant in elma
","restaurant
"
"i want to play music off deezer
","music
"
"book a restaurant for monique stewart arlene and jami
","restaurant
"
"find a movie theatre with beware of bachelors
","movie
"
"play someday soon by fiona
","music
"
"play music by daddy yankee
","music
"
"what animated movies are playing at pacific theatres
","movie
"
"play some fourties music from erin harkes
","music
"
"play me a popular ronnie wood soundtrack
","music
"
"is there any fog warning in dauset trails nature center now
","weather
"
"find a show called big broadcast of 1938
","search
"
"play pledge by markus grosskopf
","music
"
"i want a list of showings of days of fire at harkins theatres
","movie
"
"book a table for ten people in eucalyptus hills
","restaurant
"
"book a spot for elise and alma at a brasserie in ravensdale mh for this week
","restaurant
"
"find the exile and the kingdom
","search
"
"i want to play the video game called china seas
","search
"
"ho warm is it in arcola ?
","weather
"
"i d like to watch wish you were dead
","movie
"
"book a table in glennie for 1 in the northern mariana islands
","restaurant
"
"play a seventies soundtrack by steve walsh on groove shark
","music
"
"open google music and play women of jazz playlist
","music
"
"can you send me the weather forecast for malcom
","weather
"
"find an album called thursday night baseball
","search
"
"please shoe me the movie schedule for today
","movie
"
"find join the dots b-sides and rarities
","search
"
"show creativity of song a discord electric
","search
"
"where can i see animated movies in the neighborhood
","movie
"
"i want to watch the tv show official detective
","search
"
"where is the closest cinema playing soapsuds and sapheads
","movie
"
"how warm will it be in 10 minutes
","weather
"
"show creativity in call me joe
","search
"
"book a restaurant in french southern territories on dec the fifth 2026 for two
","restaurant
"
"what is the predicted weather for wells in indiana ?
","weather
"
"please book me a table for three at an american gastropub
","restaurant
"
"i want to find the show called fresh aire 7
","search
"
"find me a table at a javanese brasserie
","restaurant
"
"show weather forcast for february the 8th on current spot in neighboring
","weather
"
"find half a truth
","movie
"
"find the watcher at united paramount theatres
","movie
"
"find me the movie times for the marcus corporation
","movie
"
"i d like hear the song sit down and talk to me
","search
"
"play the home is where the music is tv series
","search
"
"show the put yourself in his place game
","search
"
"can you please find the jack johnson en concert picture ?
","search
"
"show me the movie schedules for the nearest movie theatre in invasion u s a
","movie
"
"show creativity of home brew
","search
"
"play who do you think you are by magnifico with spotify
","music
"
"is arthur 2 – on the rocks playing at 20 44 ?
","movie
"
"play while we were waiting by sippie wallace on vimeo
","music
"
"i need a dinner reservation in three months for a restaurant in hills and dales
","restaurant
"
"i want to the latest ballad from ira losco
","music
"
"play the album by paul barker playing the greatest from 1978
","music
"
"will it be hot in saint jo alaska
","weather
"
"play the baldur’s gate ii throne of bhaal saga
","search
"
"what is the weather forecast close to puerto rico
","weather
"
"find a video game called craters of the sac
","search
"
"play some music by jody williams from 2001
","music
"
"i am looking for a creative work called something warm
","search
"
"tell me if it ll be chilly here at 0 pm
","weather
"
"can i get the movie schedules for loews cineplex in six hours seventeen minutes and eighteen seconds
","movie
"
"play music from 2012 on netflix
","music
"
"book a table for nine people next mar
","restaurant
"
"book a restaurant for a party of 7 in paraguay on saturday
","restaurant
"
"play hættuleg hljómsveit & glæpakvendið stella by kaori iida
","music
"
"what is the orlovista forecast for midday within walking distance
","weather
"
"i need a reservation for eight at the original soup man in northern mariana islands
","restaurant
"
"please play a movement by rupam islam
","music
"
"find now and forever
","movie
"
"is it warm in fernandina beach slovakia
","weather
"
"play the newest twenties melody
","music
"
"make me a reservation for a party of 2
","restaurant
"
"will it be warm in zambia at 9 pm
","weather
"
"find me the book called suffer
","search
"
"will it be hotter in ct at 6 am
","weather
"
"find boyish story
","search
"
"i would like to book a restaurant in singapore for nine in 19 hours and 1 second
","restaurant
"
"find movie schedules in warren theatres
","movie
"
"find a movie theatre showing the tailor of panama
","movie
"
"what is the weather like in the city of frewen in the country of venezuela
","weather
"
"can you please find me dream ?
","search
"
"i need a reservation in steele city
","restaurant
"
"play a track by deeyah khan
","music
"
"can you play something off my kids workout playlist on groove shark
","music
"
"what is the forecast starting on september 1 2039 for chillier conditions in ak
","weather
"
"book rosalie stewart and evelyn at a restaurant
","restaurant
"
"show video game name find the colour
","search
"
"show creativity of accident analysis & prevention
","search
"
"i need reservations for a party of 8 within the same area at 01 48 35 at a restaurant in armenia that serves tuscan cuisine
","restaurant
"
"find the schedule for the band of honest men at the nearest movie theatre
","movie
"
"book me a table for one at blue ribbon barbecue
","restaurant
"
"find the tv series shaun the sheep
","search
"
"i would like to book at clinton street baking company & restaurant in brookneal
","restaurant
"
"will it be warm in the current place next spring
","weather
"
"play paul ortiz music from 1990
","music
"
"what s the weather here on 2 7 2021
","weather
"
"play the album the outpost
","search
"
"please search for all the lovers trailer
","search
"
"can i hear a tune from vladimir vysotski ?
","music
"
"play top-50 eighties theme from alain caron
","music
"
"where can i find thor meets captain america ?
","search
"
"play some good music from 2012
","music
"
"find the movie chaos is me
","search
"
"reserve a table at bear hotel around finsbury park
","restaurant
"
"is the films 19 hours from now playing at landmark theatres
","movie
"
"find a movie called no more sadface
","search
"
"find a trailer called peggy sue
","search
"
"find the another ticket game
","search
"
"can you play crossover ?
","music
"
"book a spot for five at a brasserie on jan 7 2023
","restaurant
"
"can you find me the real mccoy novel ?
","search
"
"play 2004 on pandora
","music
"
"play some stephen jones on youtube
","music
"
"what weather is in saint vincent and the grenadines on thursday
","weather
"
"play a native us song on last fm
","music
"
"will it snow on apr eighteenth 2029 in myanmar ?
","weather
"
"play the latest ep by joel hastings on itunes
","music
"
"play the song sf sound furniture
","search
"
"need a table at a highly rated south tyrolean joint
","restaurant
"
"play music on deezer by imogen heap
","music
"
"what is the closest movie house playing films
","movie
"
"play apbl98 by alden penner
","music
"
"find a painting called screen souvenirs
","search
"
"play the great adventures of slick rick game
","search
"
"list movie schedule
","movie
"
"please search for sealed with a kiss movie
","search
"
"book a restaurant in fort gates fl
","restaurant
"
"play tomtegubben som hade snuva
","music
"
"play seven steps to heaven by wikluh sky
","music
"
"i need a painting called brubeck plays brubeck
","search
"
"book the boon brick store for nine people
","restaurant
"
"what time are films showing in the neighborhood
","movie
"
"i d like to know when i can see the taking of flight 847 the uli derickson story at amco entertainment
","movie
"
"play the symphony by tetsuya ogawa from 1953
","music
"
"what films are playing at kb theatres
","movie
"
"find movie schedules at loews cineplex entertainment
","movie
"
"what is the weather forecast for theodore roosevelt inaugural national historic site
","weather
"
"which movies are playing at amc theaters ?
","movie
"
